分野,主要な製品・技術等,官民投資額_兆円,経済波及効果_兆円,想定年限,再掲フラグ
AI・半導体,フィジカルAI（特にAIロボット）,10.5,144.4,2040年度まで,0
AI・半導体,フィジカル・インテリジェント・システムの中核を担う半導体,68.0,443.3,2040年度まで,0
AI・半導体,バーティカルAI（領域特化型AI）,23.1,222.0,2040年度まで,0
デジタル・サイバーセキュリティ,データプラットフォーム,0.9,2.2,2035年度まで,0
デジタル・サイバーセキュリティ,政府・地方公共団体のAX/DX基盤,7.4,10.9,2035年度まで,0
デジタル・サイバーセキュリティ,先進的サイバーセキュリティ製品・サービス,1.0,3.3,2035年度まで,0
デジタル・サイバーセキュリティ,クラウド・データセンター、蓄電池,32.7,107.1,2035年度まで,0
デジタル・サイバーセキュリティ,クラウドネイティブ医療DX基盤,5.2,15.2,2040年度まで,0
デジタル・サイバーセキュリティ,自動運転技術,8.2,187.3,2040年度まで,0
情報通信,オール光ネットワーク（APN）,5.9,36.2,2040年度まで,0
情報通信,海底ケーブル,2.4,16.2,2040年度まで,0
情報通信,次世代ワイヤレス（NTN、5G/B5G）,20.5,223.5,2040年度まで,0
量子,量子コンピューティング,10.3,127.5,2040年度まで,0
量子,量子通信・ネットワーク,1.5,8.5,2040年度まで,0
量子,量子センシング,1.4,12.5,2040年度まで,0
防衛産業,小型無人航空機,0.4,5.6,2040年度まで,0
防衛産業,艦艇,,,"2026年度予算 約3,400億円",0
防衛産業,デュアルユース技術,4.3,117.7,2040年度まで,0
航空・宇宙,民間航空機（次期単通路機等）,3.5,16.1,2040年度まで,0
航空・宇宙,無人航空機,0.3,5.6,2040年度まで,0
航空・宇宙,空飛ぶクルマ,0.4,1.9,2040年度まで,0
航空・宇宙,ロケット・射場,2.3,5.5,2040年度まで,0
航空・宇宙,人工衛星・サービス,6.4,30.6,2040年度まで,0
航空・宇宙,月面探査・低軌道技術,5.6,24.1,2040年度まで,0
海洋,海洋無人機（海洋ドローン）,1.2,9.4,2040年度まで,0
海洋,海洋状況把握（MDA）,1.2,8.7,2040年度まで,0
海洋,革新的海底開発技術・システム,0.9,2.2,2040年度まで,0
造船,次世代船舶,1.0,9.7,2034年度まで,0
造船,船舶修繕,0.1,0.3,2035年度まで,0
造船,LNG運搬船,,,今後精査,0
マテリアル（重要鉱物・部素材）,永久磁石,0.2,3.2,2040年度まで,0
マテリアル（重要鉱物・部素材）,グリーン鉄,4.2,10.4,2040年度まで,0
マテリアル（重要鉱物・部素材）,革新的金属部素材,0.3,3.3,2040年度まで,0
マテリアル（重要鉱物・部素材）,低炭素金属部素材（鉄鋼以外）,0.7,6.7,2040年度まで,0
マテリアル（重要鉱物・部素材）,一次・二次原料の製錬・分離精製、解体選別,6.3,1.1,2040年度まで,0
マテリアル（重要鉱物・部素材）,AI等を活用した複合新素材,5.2,14.4,2040年度まで,0
合成生物学・バイオ,バイオものづくり,12.8,66.7,2040年度まで,0
合成生物学・バイオ,バイオ医薬品・再生医療等製品等,20.8,174.9,2040年度まで,0
創薬・先端医療,ファーストインクラス／ベストインクラス製品,23.4,162.1,2040年度まで,0
創薬・先端医療,感染症対応製品,7.2,29.2,2040年度まで,0
創薬・先端医療,バイオ医薬品・再生医療等製品等（再掲）,20.8,174.9,2040年度まで,1
創薬・先端医療,革新的デバイスを活用した先端医療,11.6,105.8,2040年度まで,0
創薬・先端医療,ライフログ活用ヘルスケア関連サービス,1.1,17.3,2040年度まで,0
資源・エネルギー安全保障・GX,次世代型太陽電池（ペロブスカイト等）,4.1,22.9,2040年度まで,0
資源・エネルギー安全保障・GX,水素等,6.2,85.3,2040年度まで,0
資源・エネルギー安全保障・GX,グリーン鉄（再掲）,4.2,10.4,2040年度まで,1
資源・エネルギー安全保障・GX,次世代型地熱,1.0,2.8,2040年度まで,0
資源・エネルギー安全保障・GX,洋上風力,5.1,17.3,2040年度まで,0
資源・エネルギー安全保障・GX,次世代革新炉,5.0,11.1,2040年度まで,0
資源・エネルギー安全保障・GX,GXケミカル,3.2,75.5,2040年度まで,0
フュージョンエネルギー,フュージョンエネルギー,3.1,9.4,2040年度まで,0
防災・国土強靱化,防災技術,2.6,14.5,2030年度まで,0
港湾ロジスティクス,港湾荷役機械,0.4,1.0,2040年度まで,0
港湾ロジスティクス,サイバーポート（港湾物流DX）,0.2,0.4,2040年度まで,0
港湾ロジスティクス,次世代型倉庫,0.6,1.4,2040年度まで,0
フードテック,植物工場,4.6,36.8,2040年度まで,0
フードテック,陸上養殖,2.9,47.1,2040年度まで,0
フードテック,食品機械,1.2,18.8,2040年度まで,0
フードテック,新規食品,1.0,18.8,2040年度まで,0
コンテンツ,ゲーム,24.5,191.4,2033年度まで,0
コンテンツ,アニメ,3.3,93.5,2033年度まで,0
コンテンツ,マンガ,1.6,17.2,2033年度まで,0
コンテンツ,音楽,3.0,15.0,2033年度まで,0
コンテンツ,実写,1.3,8.9,2033年度まで,0
